trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08311589993536472,,0.022614100016653538,10,0.08311589993536472,0.08311589993536472,0.05481219990178943,2.9855109001509845,[-0.08333333333333333],[0.006666666666666667],[1],[0],[0],[2.9299186998978257],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
1,0,1,0,3.032170500140637,,2.9891542000696063,10,3.032170500140637,3.032170500140637,0.028820399660617113,5.3033119002357125,[0.4483333333333333],[-0.4066666666666667],[1],[0],[0],[2.2856193999759853],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
2,0,2,0,5.330661099869758,,5.3059551999904215,5,5.330661099869758,5.330661099869758,0.013897699769586325,6.569884399883449,[0.32166666666666666],[0.3383333333333333],[1],[0],[0],[1.2502195998094976],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
3,0,3,0,6.630150800105184,,6.573803999926895,10,6.630150800105184,6.630150800105184,0.03705580020323396,8.200546900276095,[-0.31333333333333335],[-0.055],[1],[0],[0],[1.589913500007242],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
4,0,4,0,8.245202099904418,,8.20328629994765,5,8.245202099904418,8.245202099904418,0.018864300101995468,9.616615499835461,[0.5066666666666667],[0.09],[1],[0],[0],[1.3947283001616597],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
5,0,5,0,9.66109099984169,,9.620040699839592,5,9.66109099984169,9.66109099984169,0.018507199827581644,10.94902449985966,[0.06833333333333333],[0.085],[1],[0],[0],[1.310744300018996],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
6,0,6,0,10.977619499899447,,10.951906899921596,5,10.977619499899447,10.977619499899447,0.014264700002968311,17.96198649983853,[0.06833333333333333],[0.085],[1],[0],[0],[6.996183899696916],[],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
7,0,7,0,18.023170200176537,,17.964880700223148,10,18.023170200176537,18.023170200176537,0.031610299833118916,20.376543799880892,[0.32666666666666666],[0.3283333333333333],[1],[0],[0],[2.380270100198686],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
8,0,8,0,20.438958700280637,,20.37928680004552,10,20.438958700280637,20.438958700280637,0.029001399874687195,22.06181399989873,[0.36833333333333335],[0.33166666666666667],[1],[0],[0],[1.6536412998102605],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
9,0,9,0,22.104619500227273,,22.064597900025547,10,22.104619500227273,22.104619500227273,0.025676699820905924,24.360193899832666,[0.35833333333333334],[-0.2916666666666667],[1],[0],[0],[2.2701541003771126],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
10,0,10,0,24.41968970000744,,24.364126999862492,10,24.41968970000744,24.41968970000744,0.03137709992006421,26.62220730027184,[-0.43333333333333335],[0.145],[1],[0],[0],[2.2273544003255665],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
11,0,11,0,26.68604650022462,,26.626466600224376,10,26.68604650022462,26.68604650022462,0.028154400177299976,28.505909000057727,[0.185],[-0.08],[1],[0],[0],[1.85186169994995],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
12,0,12,0,28.55178129998967,,28.508571200072765,5,28.55178129998967,28.55178129998967,0.015498599968850613,30.424056500196457,[-0.3933333333333333],[0.275],[1],[0],[0],[1.9002028000541031],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
13,0,13,0,30.48351150006056,,30.42669550003484,10,30.48351150006056,30.48351150006056,0.03135409997776151,31.98881490016356,[0.16666666666666666],[0.10666666666666667],[1],[0],[0],[1.5309516000561416],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
14,0,14,0,32.03255790006369,,31.992943900171667,10,32.03255790006369,32.03255790006369,0.027894900180399418,33.48688310012221,[-0.41333333333333333],[0.21333333333333335],[1],[0],[0],[1.466601399704814],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
15,0,15,0,33.5151734999381,,33.48965590028092,5,33.5151734999381,33.5151734999381,0.01440260000526905,35.25249420013279,[0.23666666666666666],[-0.4],[1],[0],[0],[1.7486654999665916],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
16,0,16,0,35.28010950004682,,35.25534800020978,5,35.28010950004682,35.28010950004682,0.01428679982200265,36.868645099923015,[0.14833333333333334],[-0.06333333333333334],[1],[0],[0],[1.5992275001481175],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
17,0,17,0,36.92985730012879,,36.87126850010827,10,36.92985730012879,36.92985730012879,0.029515300411731005,38.74914260022342,[-0.051666666666666666],[-0.12833333333333333],[1],[0],[0],[1.8485934999771416],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
18,0,18,0,38.779552599880844,,38.751858400180936,5,38.779552599880844,38.779552599880844,0.01307469978928566,41.58373200008646,[-0.33],[-0.35333333333333333],[1],[0],[0],[2.818987499922514],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
19,0,19,0,41.61097430018708,,41.58639519987628,5,41.61097430018708,41.61097430018708,0.01308829989284277,43.833074899856,[0.46],[-0.31],[1],[0],[0],[2.2337964000180364],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
20,0,20,0,43.859739399980754,,43.83603470027447,5,43.859739399980754,43.859739399980754,0.013304099906235933,45.23092140024528,[0.07833333333333334],[-0.06833333333333333],[1],[0],[0],[1.3817947003990412],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
21,0,21,0,45.293172399979085,,45.233525400049984,10,45.293172399979085,45.293172399979085,0.030750699806958437,46.96180070005357,[0.37],[-0.085],[1],[0],[0],[1.6976908002980053],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
22,0,22,0,46.99185500014573,,46.96447989996523,5,46.99185500014573,46.99185500014573,0.014399099629372358,48.8306577000767,[-0.38166666666666665],[-0.4216666666666667],[1],[0],[0],[1.8519687000662088],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
