study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,,,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,0.0861713,,0.0607434,0.0861713,0.0861713,4.8193348,1,4.7292794,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,4.8483304,,4.8302967,4.8483304,4.8483304,5.8852398,1,1.0394704,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,5.9141692,,5.8911214,5.9141692,5.9141692,6.7681459,1,0.8622921,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,6.7969751,,6.7713722,6.7969751,6.7969751,7.7169989,1,0.9135823,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,7.746017,,7.7201533,7.746017,7.746017,8.5337285,1,0.79936,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,8.5621929,,8.5396594,8.5621929,8.5621929,9.5152848,1,0.9594265,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,9.544,,9.5181439,9.544,9.544,10.4165692,1,0.8811836,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,10.4433346,,10.4224652,10.4433346,10.4433346,11.2820815,1,0.8435994,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,11.3092642,,11.2851702,11.3092642,11.3092642,12.2308218,1,0.9132458,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,12.2583442,,12.2348753,12.2583442,12.2583442,13.1287675,1,0.8626118,,,,,,,,,,,,,,,851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
