study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0,0,0,1,,,,,0.0716982,,0.0387223,0.0716982,0.0716982,4.2743008,1,4.2184145,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,1,1,10,,,,,4.3014238,,4.2801546,4.3014238,4.3014238,5.3714011,1,1.0755573,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,2,2,4,,,,,5.4000638,,5.3771109,5.4000638,5.4000638,6.556486,1,1.1465797,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,3,3,13,,,,,6.5821926,,6.5629373,6.5821926,6.5821926,7.4541388,1,0.8738582,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,4,4,12,,,,,7.4812819,,7.4589822,7.4812819,7.4812819,8.4368705,1,0.945787,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,5,5,7,,,,,8.4638238,,8.4441208,8.4638238,8.4638238,9.4179327,1,0.9581159,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,6,6,5,,,,,9.4465716,,9.4215073,9.4465716,9.4465716,10.3665777,1,0.9302037,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,7,7,2,,,,,10.3956362,,10.3714263,10.3956362,10.3956362,11.1847757,1,0.7814264,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,8,8,3,,,,,11.2116811,,11.1899316,11.2116811,11.2116811,11.9484306,1,0.7431734,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,9,9,14,,,,,11.9770936,,11.9520635,11.9770936,11.9770936,12.7975047,1,0.8292002,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,10,10,8,,,,,12.8263072,,12.800385,12.8263072,12.8263072,13.6981505,1,0.8664259,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,11,11,0,,,,,13.7255036,,13.7029485,13.7255036,13.7255036,14.4805615,1,0.7629023,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,12,12,9,,,,,14.5083008,,14.4839285,14.5083008,14.5083008,15.3960916,1,0.8813051,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,13,13,6,,,,,15.4244924,,15.3991008,15.4244924,15.4244924,16.2136336,1,0.7959884,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
,,,,,,,,,,,,,,,,,0,14,14,11,,,,,16.2400918,,16.2187305,16.2400918,16.2400918,16.9938548,1,0.7590552,,,,,,,,,,,,,,,649607,1,2024-11-06_18h31.16.712,WORD PRIMING,2024.2.1post4,60.05389234,2024-11-06 18h31.23.183081 +0530
