study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,0,0,0,1,2.136263799853623,,,,,,,,,,,,0,0,0,0,,,,,0.0568552000913769,,0.024130600038915873,0.0568552000913769,0.0568552000913769,2.1792763001285493,1,2.136263799853623,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
chart,1,1,0,1,0.8866432001814246,,,,,,,,,,,,0,1,1,6,,,,,2.2045199000276625,,2.189499800093472,2.2045199000276625,2.2045199000276625,3.0912552000954747,1,0.8866432001814246,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
keys,2,2,0,1,0.6792556000873446,,,,,,,,,,,,0,2,2,13,,,,,3.1201801002025604,,3.0965874001849443,3.1201801002025604,3.1201801002025604,3.807909600203857,1,0.6792556000873446,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
police,3,3,0,1,0.5811576000414789,,,,,,,,,,,,0,3,3,12,,,,,3.8367506000213325,,3.813016400206834,3.8367506000213325,3.8367506000213325,4.423043800052255,1,0.5811576000414789,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
t-shirt,4,4,0,1,0.48021199996583164,,,,,,,,,,,,0,4,4,7,,,,,4.452537200180814,,4.4276861001271755,4.452537200180814,4.452537200180814,4.923655900172889,1,0.48021199996583164,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
pastry,5,5,0,1,0.5340584998484701,,,,,,,,,,,,0,5,5,9,,,,,5.00217520003207,,4.988846100168303,5.00217520003207,5.00217520003207,5.5554940002039075,1,0.5340584998484701,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
cruise,6,6,0,1,0.4654264999553561,,,,,,,,,,,,0,6,6,11,,,,,5.584970900090411,,5.559905000030994,5.584970900090411,5.584970900090411,6.038665700005367,1,0.4654264999553561,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
cushion,7,7,0,1,0.5975256999954581,,,,,,,,,,,,0,7,7,1,,,,,6.067866000114009,,6.044035200029612,6.067866000114009,6.067866000114009,6.675336000043899,1,0.5975256999954581,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
case,8,8,0,1,0.4428559001535177,,,,,,,,,,,,0,8,8,10,,,,,6.700744500150904,,6.681107500102371,6.700744500150904,6.700744500150904,7.154105900088325,1,0.4428559001535177,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
marble,9,9,0,1,0.5809583999216557,,,,,,,,,,,,0,9,9,3,,,,,7.183074800064787,,7.157130200183019,7.183074800064787,7.183074800064787,7.756470000138506,1,0.5809583999216557,,,,,,,,,,,,,,,345202,001,2024-11-06_18h33.43.396,WORD PRIMING,2024.2.1post4,59.83881813034475,2024-11-06 18h33.51.591385 +0530,
